text,stress_level,timestamp,source,author,context,location,cleaned_text,tokens,vader_scores,stress_keywords_found
I'm dealing with some fearful issues with work.,low,2025-02-20 12:07:14.008999,text_message,Margaret Wilson,family,school,im dealing with some fearful issues with work,"['im', 'dealing', 'fearful', 'issue', 'work']","{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.4939}","{'high': 0, 'medium': 0, 'low': 0}"
I'm in a tranquil mood today. Focusing on the positive.,high,2024-09-16 12:07:14.008999,blog,Robert Moore,family,restaurant,im in a tranquil mood today focusing on the positive,"['im', 'tranquil', 'mood', 'today', 'focusing', 'positive']","{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.5859}","{'high': 0, 'medium': 0, 'low': 0}"
I don't know how to cope with this apprehension. I feel hopeless about the situation.,high,2025-01-29 12:07:14.008999,blog,Karen Martinez,work,gym,i dont know how to cope with this apprehension i feel hopeless about the situation,"['dont', 'know', 'cope', 'apprehension', 'feel', 'hopeless', 'situation']","{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.7667}","{'high': 1, 'medium': 0, 'low': 0}"
I feel absolutely exhausted about everything related to my studies.,high,2024-11-11 12:07:14.008999,survey,Sarah Lee,personal,vacation,i feel absolutely exhausted about everything related to my studies,"['feel', 'absolutely', 'exhausted', 'everything', 'related', 'study']","{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.4201}","{'high': 1, 'medium': 0, 'low': 0}"
"A bit uneasy about my job, but trying to stay positive.",high,2024-05-13 12:07:14.008999,chat,David Martinez,personal,office,a bit uneasy about my job but trying to stay positive,"['bit', 'uneasy', 'job', 'trying', 'stay', 'positive']","{'neg': 0.122, 'neu': 0.544, 'pos': 0.333, 'compound': 0.6249}","{'high': 0, 'medium': 0, 'low': 0}"
I can't handle the anxiety from relationships anymore. I'm completely burnt out.,high,2024-07-02 12:07:14.008999,social_media,Jessica Lewis,academic,transit,i cant handle the anxiety from relationships anymore im completely burnt out,"['cant', 'handle', 'anxiety', 'relationship', 'anymore', 'im', 'completely', 'burnt']","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.1326}","{'high': 1, 'medium': 0, 'low': 0}"
Taking time to yoga has made me feel energized.,high,2024-09-24 12:07:14.008999,email,Susan Miller,family,office,taking time to yoga has made me feel energized,"['taking', 'time', 'yoga', 'made', 'feel', 'energized']","{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.5106}","{'high': 0, 'medium': 0, 'low': 0}"
Taking time to a good workout has made me feel relaxed.,low,2024-05-27 12:07:14.008999,social_media,Thomas Clark,work,home,taking time to a good workout has made me feel relaxed,"['taking', 'time', 'good', 'workout', 'made', 'feel', 'relaxed']","{'neg': 0.0, 'neu': 0.567, 'pos': 0.433, 'compound': 0.7269}","{'high': 0, 'medium': 0, 'low': 1}"
"Some apprehensive situations at the office, but I'll get through it.",medium,2025-01-31 12:07:14.008999,text_message,Susan Thomas,relationship,school,some apprehensive situations at the office but ill get through it,"['apprehensive', 'situation', 'office', 'ill', 'get']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'high': 0, 'medium': 0, 'low': 0}"
I'm dealing with some irritated issues with the future.,low,2025-01-16 12:07:14.008999,chat,Robert Williams,family,home,im dealing with some irritated issues with the future,"['im', 'dealing', 'irritated', 'issue', 'future']","{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.4588}","{'high': 0, 'medium': 0, 'low': 0}"
