text,stress_level,timestamp,source,author,context,location,cleaned_text,tokens,vader_scores,stress_keywords_found
I'm dealing with some irritated issues with the future.,low,2025-01-16 12:07:14.008999,chat,Robert Williams,family,home,im dealing with some irritated issues with the future,"['im', 'dealing', 'irritated', 'issue', 'future']","{'neg': 0.273, 'neu': 0.727, 'pos': 0.0, 'compound': -0.4588}","{'high': 0, 'medium': 0, 'low': 0}"
"exams is causing some distressed feelings, but I'm coping.",medium,2024-08-11 12:06:17.113723,social_media,Daniel Thompson,academic,office,exams is causing some distressed feelings but im coping,"['exam', 'causing', 'distressed', 'feeling', 'im', 'coping']","{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}","{'high': 0, 'medium': 0, 'low': 1}"
I don't know how to cope with this apprehension. I feel hopeless about the situation.,high,2025-01-29 12:07:14.008999,blog,Karen Martinez,work,gym,i dont know how to cope with this apprehension i feel hopeless about the situation,"['dont', 'know', 'cope', 'apprehension', 'feel', 'hopeless', 'situation']","{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.7667}","{'high': 1, 'medium': 0, 'low': 0}"
I don't know how to cope with this tension. I feel hopeless about the situation.,high,,,,,,i dont know how to cope with this tension i feel hopeless about the situation,"['dont', 'know', 'cope', 'tension', 'feel', 'hopeless', 'situation']","{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.6833}","{'high': 1, 'medium': 1, 'low': 0}"
"my colleagues is causing some concerned feelings, but I'm coping.",medium,2024-06-30 12:06:17.113723,text_message,Michael Anderson,family,gym,my colleagues is causing some concerned feelings but im coping,"['colleague', 'causing', 'concerned', 'feeling', 'im', 'coping']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'high': 0, 'medium': 1, 'low': 1}"
"A bit exhausted about finances, but trying to stay positive.",medium,,,,,,a bit exhausted about finances but trying to stay positive,"['bit', 'exhausted', 'finance', 'trying', 'stay', 'positive']","{'neg': 0.128, 'neu': 0.513, 'pos': 0.359, 'compound': 0.631}","{'high': 1, 'medium': 0, 'low': 0}"
I feel absolutely restless about everything related to deadlines.,low,,,,,,i feel absolutely restless about everything related to deadlines,"['feel', 'absolutely', 'restless', 'everything', 'related', 'deadline']","{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.3384}","{'high': 0, 'medium': 0, 'low': 0}"
"I'm a little agitated about my job, but it's temporary.",medium,,,,,,im a little agitated about my job but its temporary,"['im', 'little', 'agitated', 'job', 'temporary']","{'neg': 0.188, 'neu': 0.812, 'pos': 0.0, 'compound': -0.2152}","{'high': 0, 'medium': 0, 'low': 1}"
I'm in a fantastic mood today. Finding joy in simple pleasures.,high,,,,,,im in a fantastic mood today finding joy in simple pleasures,"['im', 'fantastic', 'mood', 'today', 'finding', 'joy', 'simple', 'pleasure']","{'neg': 0.0, 'neu': 0.405, 'pos': 0.595, 'compound': 0.8834}","{'high': 0, 'medium': 0, 'low': 0}"
I feel absolutely exhausted about everything related to my studies.,high,2024-11-11 12:07:14.008999,survey,Sarah Lee,personal,vacation,i feel absolutely exhausted about everything related to my studies,"['feel', 'absolutely', 'exhausted', 'everything', 'related', 'study']","{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.4201}","{'high': 1, 'medium': 0, 'low': 0}"
